TOTAL_DBAAS_GROSS,POSTGRESQL_GROSS,MYSQL_GROSS,REDIS_GROSS,MONGODB_GROSS
1171.39,178.18,964.28,9.64,19.29
1051.06,77.14,935.34,19.29,19.29
106.06,77.14,9.64,9.64,9.64
87.27,9.64,39.06,28.93,9.64
1626.80,246.43,946.43,318.22,115.72
19.71,5.87,5.87,2.10,5.87
7755.91,1367.84,1142.33,4850.38,395.36
154.27,9.64,77.14,19.28,48.21
405.00,38.57,19.29,9.64,337.50
1256.77,925.70,48.21,273.22,9.64
54.93,8.20,9.64,27.45,9.64
9.06,2.32,2.32,2.10,2.32
77.12,28.92,9.64,19.28,19.28
107.89,48.22,9.64,15.47,34.56
57.86,9.64,19.29,19.29,9.64
1717.12,1619.99,10.36,28.92,57.85
457.27,57.87,192.86,86.80,119.74
160.72,19.29,28.93,102.86,9.64
1060.71,163.93,646.07,86.78,163.93
173.57,48.21,77.15,19.28,28.93
18.55,5.87,5.87,0.94,5.87
0.00,0.00,0.00,0.00,0.00
19.71,5.87,5.87,2.10,5.87
752.12,636.42,9.64,48.21,57.85
38.56,9.64,9.64,9.64,9.64
57.86,9.64,19.29,9.64,19.29
125.34,9.64,86.78,19.28,9.64
250.71,19.28,57.87,19.28,154.28
19.71,5.87,5.87,2.10,5.87
886.93,196.33,385.70,38.60,266.30
221.80,135.00,48.22,19.29,19.29
488.77,160.90,115.74,86.78,125.35
241.06,19.28,154.28,48.21,19.29
1117.90,1011.83,77.14,9.64,19.29
4.80,1.60,0.02,3.16,0.02
1972.65,1367.67,469.99,19.28,115.71
103.87,6.92,0.54,28.92,67.49
231.40,86.78,96.42,9.64,38.56
739.29,73.93,597.86,48.21,19.29
57.85,9.64,9.64,9.64,28.93
25.73,0.38,7.05,9.64,8.66
13.95,4.44,4.44,0.63,4.44
241.06,28.92,115.71,38.57,57.86
82.15,14.66,38.57,19.28,9.64
1600.72,1170.00,19.29,102.86,308.57
67.48,19.28,19.28,9.64,19.28
38.56,9.64,9.64,9.64,9.64
112.50,73.93,19.29,9.64,9.64
534.83,19.29,501.41,9.64,4.49
1793.73,144.81,1253.57,163.92,231.43
11.48,3.15,3.15,2.03,3.15
237.85,28.92,19.28,170.36,19.29
0.98,0.29,0.29,0.11,0.29
674.96,472.48,19.28,173.56,9.64
4741.22,655.71,3400.87,646.07,38.57
106.06,9.64,77.14,9.64,9.64
250.73,19.29,154.29,48.22,28.93
461.77,18.52,318.23,38.35,86.67
1141.46,852.18,154.29,57.85,77.14
97.39,0.67,9.66,28.93,58.13
